CEMI,137,0.0008312098765432084
USNA,51,2.1643506172839526
BKD,105,0.11020987654320985
CVET,70,2.6917209876543207
PRO,61,1.7504888888888896
AMPE,76,0.00015061728395061668
VCEL,71,0.22218765432098772
HBI,82,0.43168593750000017
ICD,71,0.15146913580246923
PGR,19,1.353135802469136
LINC,84,0.12117283950617286
CHH,91,20.765520987654288
INTT,82,0.004506172839506183
OSW,115,0.20283950617283963
TACT,63,0.0186395061728395
CHUY,56,1.5490395061728393
CMG,42,2179.9149506172853
CRI,59,17.497217283950604
ARC,62,0.001402469135802469
BLMN,81,0.5567111111111113
GPMT,89,0.08320987654320994
EAT,103,5.91071358024691
EEX,84,0.1202617283950617
AL-PA,81,1.11843950617284
KBRS,74,0.0
FND,67,9.187311111111109
CARS,62,0.26692098765432093
PK,75,1.3168222222222221
TJX,63,14.485511111111098
WH,65,8.298355555555553
APEI,62,0.6494246913580253
MRNS,43,2.1310024691358027
CCL,79,1.5351876543209886
OFIX,49,8.766683950617283
MTG,53,0.39206913580246916
SNBR,49,1.8605555555555544
PNR,57,3.4080098765432094
ENDP,99,0.00673580246913579
GWW,47,99.64445432098765
SKAS,36,0.0008234375000000023
XRAY,70,6.079202469135797
CTAM,61,0.7777777777777776
LH,84,14.69312839506173
TELA,46,1.1320098765432092
SSY,63,0.0019135802469135784
ICUI,64,9.307466666666654
LTRPB,76,3.170854320987654
RUTH,63,0.2689432098765432
VVV,75,1.0923506172839514
VNTR,60,0.006711111111111108
XYL,68,4.749187654320988
XHR,79,0.43012098765432105
KWR,88,41.32528395061726
CZR,99,25.684639506172832
MCB,87,2.1316444444444453
ANIK,68,3.2626469135802463
BA,72,66.70967654320985
BCLI,52,0.17008888888888887
MCFT,56,1.6763358024691366
WLMS,46,0.0007992098765432113
CHEF,32,1.1060617283950613
KRG,58,0.5855135802469132
IPAR,41,4.975432098765442
NAHD,26,8.888888888888906e-07
QUMU,46,0.00846913580246913
GOLF,58,3.186113580246915
SIGI,127,8.221485937499992
MAR,83,48.27555061728394
UAL,87,8.652358024691353
ST,46,1.9013555555555577
IART,81,2.6624691358024712
WSR,89,0.1892
BBY,53,12.595743209876543
CNDT,49,0.05535061728395061
APTO,44,0.016400000000000005
DENN,48,0.6632000000000001
CCO,54,0.0029333333333333342
JBLU,61,0.5703358024691357
SGRY,49,3.698254320987654
MKL,96,19363.71698765432
